Time,Time Raw,Myc mRNA,Myc Protein,IRF4 mRNA,IRF4 Protein,Myc mRNA std,Myc Protein std,IRF4 mRNA std,IRF4 Protein std,Blimp1 MRNA,Blimp1 mRNA std
600,0,1,1,1,1,0,0,0,0,1,0
15000,14400,0.074620667,0.100163688,0.4535305,1.152506561,0.008673666,0.257580722,0.045878234,1.620526577,1.049198,0.226820056
29400,28800,0.18626,0.209444887,0.4090426,1.354495156,0.057869642,0.02422204,0.049122581,0.43260916,0.880497333,0.158125425
87000,86400,0.2051025,0.066595615,0.433072,0.873672962,0.045384235,0.018370793,0.059421011,0.417946145,0.52343875,0.196919365
173400,172800,0.1143045,0.149879652,0.1338665,0.970350215,0.016357501,0.035023337,0.07618722,0.342441877,0.579608333,0.000375678
