Time,Time Raw,Myc mRNA,Myc Protein,IRF4 mRNA,IRF4 Protein,Myc mRNA std,Myc Protein std,IRF4 mRNA std,IRF4 Protein std,Blimp1 MRNA,Blimp1 mRNA std
600,0,1,1,1,1,1,0,0,0,1,0
15000,14400,0.2437265,0.112367098,0.378175,1.066186804,0.039532219,0.020940216,0.075420884,0.025185843,0.893448333,0.236584954
29400,28800,0.37724,0.406062774,0.242449667,1.041210663,0.008755396,0.051108814,0.054996911,0.104287402,0.8652355,0.017983847
87000,86400,0.1689305,0.383490675,0.387555,0.940606414,0.069208076,0.024414071,0.087440825,0.195427694,1.039126,0.212597311
173400,172800,0.253383,0.268411519,0.171001,0.907157712,0.049783146,0.009966918,0.044983305,0.056119857,0.539939,0.007297342
