Time,Time Raw,Myc mRNA,Myc Protein,IRF4 mRNA,IRF4 Protein,Myc mRNA std,Myc Protein std,IRF4 mRNA std,IRF4 Protein std,Blimp1 MRNA,Blimp1 mRNA std
600,0,1,1,1,1,0,0,0,0,1,0
15000,14400,0.32170575,0.182881513,0.398466,0.940121775,0.125183116,0.017172062,0.083687502,0.065716081,0.96928975,0.419667089
29400,28800,0.137036333,0.462281922,0.140985333,1.119502852,0.043528319,0.087215097,0.016882592,0.309495586,0.9344345,0.260339039
87000,86400,0.197113,0.34298847,0.4378425,0.994064864,0.003402598,0.049958427,0.00201879,0.045518172,0.9143705,0.147118516
173400,172800,0.1378145,0.24521575,0.298964,1.008608705,0.036368623,0.030935196,0.010839947,0.095235465,0.858854,0.243459693
