Time,Time Raw,Myc mRNA,Myc Protein,IRF4 mRNA,IRF4 Protein,Myc mRNA std,Myc Protein std,IRF4 mRNA std,IRF4 Protein std,Blimp1 MRNA,Blimp1 mRNA std
600,0,1,1,1,1,0,0,0,0,1,0
15000,14400,0.4240245,0.608226964,0.199252667,1.003154856,0.078416021,0.08443321,0.015134892,0.086419823,0.962472,0.116244112
29400,28800,0.3748386,0.658060393,0.17599325,1.221152183,0.058010375,0.019370631,0.037973209,0.636543118,0.925136,0.094855546
87000,86400,0.44034375,0.582411836,0.1573365,0.805650901,0.206247943,0.077114257,0.001571898,0.371362452,0.8165685,0.026966931
173400,172800,0.2309375,0.088072429,0.0600005,1.004273517,0.001550685,0.013267253,0.009979398,0.067524377,0.6417725,0.121616002
