Time,Time Raw,Myc mRNA,Myc Protein,IRF4 mRNA,IRF4 Protein,Myc mRNA std,Myc Protein std,IRF4 mRNA std,IRF4 Protein std,Blimp1 MRNA,Blimp1 mRNA std
600,0,1,1,1,1,0,0,0,0,1,0
15000,14400,0.1779265,0.356884556,0.434822667,1.036100974,0.033190885,0.052921393,0.047990886,0.13290005,0.8625675,0.057241001
29400,28800,0.412336667,0.270047351,0.499608,1.055505775,0.031114752,0.039935115,0.002784587,0.636351237,0.769120333,0.23677888
87000,86400,0.341096,0.14776736,0.2903805,0.930434237,0.148297263,0.022961135,0.012063949,0.084431259,0.843009333,0.256974923
173400,172800,0.173397,0.007586725,0.257199,0.93255529,0.001781909,0.001915077,0.15109882,0.062921279,0.5667155,0.044769052
