Time,Time Raw,Myc mRNA,Myc Protein,IRF4 mRNA,IRF4 Protein,Myc mRNA std,Myc Protein std,IRF4 mRNA std,IRF4 Protein std,Blimp1 MRNA,Blimp1 mRNA std
600,0,1,1,1,1,0,0,0,0,1,0
15000,14400,0.14971025,0.207995438,0.178626836,1.102117785,0.089734366,0.016814543,0.133686915,0.129940228,0.7795175,0.228407511
29400,28800,0.09823675,0.211861408,0.368160431,0.899551963,0.028133415,0.024181396,0.045750122,0.248988339,0.782422667,0.310888617
87000,86400,0.075269,0.137271911,0.174493773,0.885512705,0.027004408,0.05892909,0.022344574,0.277734538,0.8691775,0.007070361
173400,172800,0.088604,0.182056755,0.347840792,1.133242054,0.015072688,0.040735396,0.084911504,0.031145858,0.5833645,0.037116742
