Time,Time Raw,Myc mRNA,Myc Protein,IRF4 mRNA,IRF4 Protein,Myc mRNA std,Myc Protein std,IRF4 mRNA std,IRF4 Protein std,Blimp1 MRNA,Blimp1 mRNA std
600,0,1,1,1,1,0,0,0,0,1,0
15000,14400,0.0490515,0.104341495,0.296046333,0.976830206,0.019654033,0.004817624,0.013157619,0.389665852,0.751458667,0.215620535
29400,28800,0.142116,0.172894939,0.378473667,1.044460729,0.057042654,0.04630755,0.068647103,0.430654047,0.8431355,0.345829663
87000,86400,0.119954,0.074888611,0.359849,0.801460517,0.09215157,0.051459701,0.14359076,0.087771091,0.844801667,0.328697055
173400,172800,0.056082,0.053240323,0.1141,1.063439373,0.020835608,0.002088248,0.021669994,0.128969569,0.500245,0.048306707
