Time,Time Raw,Myc mRNA,Myc Protein,IRF4 mRNA,IRF4 Protein,Myc mRNA std,Myc Protein std,IRF4 mRNA std,IRF4 Protein std,Blimp1 MRNA,Blimp1 mRNA std
600,0,1,1,1,1,0,0,0,0,1,0
15000,14400,0.5732605,0.519040386,0.221223667,0.94813464,0.112621604,0.066807407,0.083911104,0.110506266,0.7610324,0.100974086
29400,28800,0.501915,0.604649701,0.201381,1.199185388,0.039478089,0.059487256,0.044823935,0.663806229,0.821355,0.090656746
87000,86400,0.4710835,0.727498352,0.1851385,0.944575399,0.126550194,0.189330351,0.012247797,0.28183842,0.78048,0.019311086
173400,172800,0.206768,0.062055162,0.198036,1.128943964,0.030810057,0.023810229,0.024231135,0.012404131,0.618847,0.29752871
