Time,Time Raw,Myc mRNA,Myc Protein,IRF4 mRNA,IRF4 Protein,Myc mRNA std,Myc Protein std,IRF4 mRNA std,IRF4 Protein std,Blimp1 MRNA,Blimp1 mRNA std
600,0,1,1,1,1,0,0,0,0,1,0
15000,14400,0.255575,0.116740455,0.36481,0.881850191,0.016279012,0.004059323,0.022812248,0.109907945,0.871704,0.11785773
29400,28800,0.1672635,0.421460932,0.3783062,1.064335958,0.03518032,0.050169749,0.048111109,0.395003226,0.723629333,0.007999499
87000,86400,0.1329985,0.102180158,0.1764185,1.008673052,0.064181961,0.017454394,0.042950373,0.302579889,0.772026,0.305177387
173400,172800,0.190632,0.017182675,0.249488,1.046163422,0.035435949,0.00203455,0.023378364,0.097456757,0.57091,0.288789481
