Time,Time Raw,Myc mRNA,Myc Protein,IRF4 mRNA,IRF4 Protein,Myc mRNA std,Myc Protein std,IRF4 mRNA std,IRF4 Protein std,Blimp1 MRNA,Blimp1 mRNA std
600,0,1,1,1,1,0,0,0,0,1,0
15000,14400,0.0387055,0.114331899,0.31211875,1.169545704,0.002116371,0.2969638,0.049398715,1.461998541,0.9255615,0.459526777
29400,28800,0.05777925,0.182626197,0.2683532,0.815768124,0.01674205,0.007788783,0.035625001,0.28245098,0.635064667,0.171804503
87000,86400,0.107184,0.449066756,0.348889,0.958524865,0.033174622,0.006914837,0.073848818,0.460008421,0.5297555,0.163195295
173400,172800,0.0748295,0.086536739,0.2072245,1.027011373,0.02847024,0.014505245,0.021937988,0.343997894,0.312112,0.175174391
