Time,Time Raw,Myc mRNA,Myc Protein,IRF4 mRNA,IRF4 Protein,Myc mRNA std,Myc Protein std,IRF4 mRNA std,IRF4 Protein std,Blimp1 MRNA,Blimp1 mRNA std
600,0,1,1,1,1,0,0,0,0,1,0
15000,14400,0.351221,0.251422941,0.426481333,0.972975751,0.052314054,0.048342718,0.109709076,0.013213746,0.991472,0.161500408
29400,28800,0.27608025,0.376652849,0.257398667,1.132246919,0.046480883,0.043189761,0.038404449,0.021413929,0.914405,0.123477815
87000,86400,0.2043135,0.403107732,0.4043145,1.05867014,0.00761059,0.035309601,0.080709875,0.219025009,0.9674685,0.037722025
173400,172800,0.1803415,0.521644624,0.401899,1.053053626,0.004837317,0.012182019,0.165915535,0.067643742,0.687574,0.178718411
