Time,Time Raw,Myc mRNA,Myc Protein,IRF4 mRNA,IRF4 Protein,Myc mRNA std,Myc Protein std,IRF4 mRNA std,IRF4 Protein std,Blimp1 MRNA,Blimp1 mRNA std
600,0,1,1,1,1,0,0,0,0,1,0
15000,14400,0.177397,0.128549366,0.464799667,1.087681686,0.037346552,0.301128511,0.065608306,1.336583127,0.906261,0.113383467
29400,28800,0.159625,0.321620022,0.209241667,1.257055541,0.066784339,0.14291227,0.17319756,0.525086284,0.552805,0.159655725
87000,86400,0.37861,0.340196071,0.240644,1.015916703,0.041210183,0.017020206,0.062071247,0.224752629,0.514679,0.116000867
173400,172800,0.2679195,0.517389103,0.2762935,1.175241012,0.007443713,0.017840079,0.050630967,0.105316434,0.4583725,0.202127181
