Time,Time Raw,Myc mRNA,Myc Protein,IRF4 mRNA,IRF4 Protein,Myc mRNA std,Myc Protein std,IRF4 mRNA std,IRF4 Protein std,Blimp1 MRNA,Blimp1 mRNA std
600,0,1,1,1,1,0,0,0,0,1,0
15000,14400,0.143757,0.158044574,0.486603333,0.995049118,0.028930567,0.309825447,0.089906941,1.168704031,0.90574475,0.105690071
29400,28800,0.42677225,0.344944919,0.39602175,1.345884631,0.022180718,0.061668825,0.094733409,0.473735878,0.951688,0.302629145
87000,86400,0.232235,0.567458269,0.4441455,0.882276256,0.029261493,0.012468572,0.147384388,0.351277209,0.5912185,0.049590106
173400,172800,0.2842255,0.532198184,0.147547,1.068574659,0.042627932,0.062722077,0.05660814,0.339219776,0.3857345,0.066040238
