Time,Time Raw,Myc mRNA,Myc Protein,IRF4 mRNA,IRF4 Protein,Myc mRNA std,Myc Protein std,IRF4 mRNA std,IRF4 Protein std,Blimp1 MRNA,Blimp1 mRNA std
600,0,1,1,1,1,0,0,0,0,1,0
15000,14400,0.0256535,0.127198862,0.264999667,1.245840457,0.004736908,0.348034867,0.069400753,1.711706333,0.8157895,0.004864188
29400,28800,0.4717535,0.284588867,0.454726333,1.233647756,0.010784086,0.141458517,0.10466647,0.661984517,0.7310325,0.165958669
87000,86400,0.3718405,0.28745887,0.2385535,0.891705839,0.030222451,0.016256025,0.047198671,0.340143575,0.544007,0.130466858
173400,172800,0.1852645,0.275138856,0.222869,0.944484013,0.137541461,0.048553054,0.090481013,0.255326963,0.2681145,0.127780559
